Domain (6) x Act (5) x Attr (8) = 240 theoretical combinations
Domain                    Act          Attr         Possible   Mapped     Example
REPORT_INTERPRETATION     ANALYZE      PREVENT      [N]        [ - ]      -
REPORT_INTERPRETATION     ANALYZE      DIAGNOSE     [Y]        [MAPPED]   尿酸520什么问题
REPORT_INTERPRETATION     ANALYZE      CAUTION      [Y]        [ - ]      -
GENERAL_CONSULTATION      ASK          CAUSE        [Y]        [MAPPED]   高血压病因是什么
GENERAL_CONSULTATION      ASK          SYMPTOM      [Y]        [MAPPED]   糖尿病有什么症状
GENERAL_CONSULTATION      ASK          BASIC        [Y]        [MAPPED]   维生素D有什么作用
GENERAL_CONSULTATION      ASK          CHECKUP      [Y]        [MAPPED]   怀孕初期做什么检查
GENERAL_CONSULTATION      ASK          VISIT        [Y]        [MAPPED]   感冒挂什么科
GENERAL_CONSULTATION      ASK          PREVENT      [Y]        [MAPPED]   怎么预防中风
GENERAL_CONSULTATION      ASK          DIAGNOSE     [N]        [ - ]      -
GENERAL_CONSULTATION      ASK          CAUTION      [Y]        [ - ]      -
GENERAL_CONSULTATION      CONFIRM      CAUSE        [Y]        [ - ]      -
GENERAL_CONSULTATION      CONFIRM      SYMPTOM      [Y]        [ - ]      -
GENERAL_CONSULTATION      CONFIRM      BASIC        [Y]        [ - ]      -
GENERAL_CONSULTATION      CONFIRM      CHECKUP      [Y]        [ - ]      -
GENERAL_CONSULTATION      CONFIRM      VISIT        [Y]        [ - ]      -
GENERAL_CONSULTATION      CONFIRM      PREVENT      [Y]        [ - ]      -
GENERAL_CONSULTATION      CONFIRM      DIAGNOSE     [N]        [ - ]      -
GENERAL_CONSULTATION      CONFIRM      CAUTION      [Y]        [MAPPED]   -
GENERAL_CONSULTATION      SEEK_HELP    CAUSE        [Y]        [ - ]      -
GENERAL_CONSULTATION      SEEK_HELP    SYMPTOM      [Y]        [ - ]      -
GENERAL_CONSULTATION      SEEK_HELP    BASIC        [Y]        [ - ]      -
GENERAL_CONSULTATION      SEEK_HELP    CHECKUP      [Y]        [ - ]      -
GENERAL_CONSULTATION      SEEK_HELP    VISIT        [Y]        [MAPPED]   我这样需要去医院吗
GENERAL_CONSULTATION      SEEK_HELP    PREVENT      [Y]        [ - ]      -
GENERAL_CONSULTATION      SEEK_HELP    DIAGNOSE     [N]        [ - ]      -
GENERAL_CONSULTATION      SEEK_HELP    CAUTION      [Y]        [MAPPED]   我血压160怎么办
GENERAL_CONSULTATION      DEBUNK       CAUSE        [N]        [ - ]      -
GENERAL_CONSULTATION      DEBUNK       SYMPTOM      [N]        [ - ]      -
GENERAL_CONSULTATION      DEBUNK       BASIC        [N]        [ - ]      -
GENERAL_CONSULTATION      DEBUNK       CHECKUP      [N]        [ - ]      -
GENERAL_CONSULTATION      DEBUNK       VISIT        [N]        [ - ]      -
GENERAL_CONSULTATION      DEBUNK       PREVENT      [N]        [ - ]      -
GENERAL_CONSULTATION      DEBUNK       DIAGNOSE     [N]        [ - ]      -
GENERAL_CONSULTATION      DEBUNK       CAUTION      [N]        [ - ]      -
GENERAL_CONSULTATION      ANALYZE      CAUSE        [Y]        [ - ]      -
GENERAL_CONSULTATION      ANALYZE      SYMPTOM      [Y]        [ - ]      -
